tier,model,auroc_mean,auroc_low,auroc_high,n_repeats
A,logreg,0.8238933486238531,0.8155007645259938,0.833065749235474,10
A,histgbm,0.8188168960244647,0.8080084097859327,0.8282110091743118,10
B,logreg,0.8119552752293577,0.7942660550458716,0.8228402140672783,10
B,histgbm,0.8083753822629969,0.7982989296636086,0.8175649847094801,10
C,logreg,0.8064831804281345,0.7827025993883792,0.8195527522935779,10
C,histgbm,0.8047553516819571,0.7943042813455657,0.8155581039755353,10
