model,baseline_auroc_mean,baseline_auroc_low,baseline_auroc_high,transfer_auroc,transfer_ci_low,transfer_ci_high,delta_auroc
logreg,0.7703398716004775,0.7661846307707197,0.7772824789495758,0.7704674857656577,0.7439615194061648,0.7966632305324904,0.00012761416518025648
histgbm,0.7888523889408653,0.7859075071781141,0.7925266961318838,0.7634510371924217,0.73782424034861,0.7886993708316585,-0.0254013517484436
