regime,n,meta_model_auroc_mean,meta_model_auroc_min,meta_model_auroc_max,best_single_signal_auroc,n_folds_flagged,n_folds_total,worst_rhat,min_ess,n_folds_diverging,total_divergences
in_coverage,1310,0.7719009677419356,0.7692354838709676,0.7747645161290322,0.7722258064516129,7,50,1.012340827270229,893.0647044851735,6,11
out_of_coverage,526,0.7751596831885539,0.7670115823539432,0.7835973428717424,0.7805952989269289,1,50,1.007922618284356,568.923440259882,1,2
