signal,confidence_column,verdict_definition,accuracy,accuracy_ci_low,accuracy_ci_high,kappa,kappa_ci_low,kappa_ci_high,uncertainty,uncertainty_ci_low,uncertainty_ci_high,ece,ece_ci_low,ece_ci_high,mce,mce_ci_low,mce_ci_high,brier,brier_ci_low,brier_ci_high,reliability,reliability_ci_low,reliability_ci_high,resolution,resolution_ci_low,resolution_ci_high,overconfidence_gap,overconfidence_gap_ci_low,overconfidence_gap_ci_high
conf_verb,conf_verb,judge_verdict,0.7570806100217865,0.7349309599456268,0.7782409400011473,0.5139235817606778,0.4708314185616065,0.5555414361081757,0.1839095599508261,0.17258197618169915,0.19480744378602147,0.19210239651416144,0.17158049104505893,0.21345359310599596,0.38333333333333347,0.30000000000000004,0.7090909090909091,0.21511982570806099,0.19696079066482677,0.23442089206522762,0.042447302422765155,0.034486643748200124,0.05228763829165786,0.011237036665530198,0.007107736354993289,0.01692422430423795,0.19210239651416106,0.17158049104505857,0.21345359310599588
conf_lp,conf_lp,judge_verdict,0.7570806100217865,0.7349309599456268,0.7782409400011473,0.5139235817606778,0.4708314185616065,0.5555414361081757,0.1839095599508261,0.17258197618169915,0.19480744378602147,0.2421975509958958,0.22095498418437515,0.26409953702393757,0.49229663073489527,0.4389783787472293,0.5688635476584596,0.2421731642997704,0.22095524191772867,0.26380396899287895,0.076100226061061,0.06347706610462481,0.09010550210928207,0.017806647548546644,0.012203224151372153,0.024785190900383787,0.2421975509958958,0.22095498418437523,0.26409953702393774
conf_sc,conf_sc,judge_verdict,0.7570806100217865,0.7349309599456268,0.7782409400011473,0.5139235817606778,0.4708314185616065,0.5555414361081757,0.1839095599508261,0.17258197618169915,0.19480744378602147,0.18341503267973855,0.1663616497725081,0.2030485342026753,0.3125,0.1973606811145511,0.5625,0.20475898692810457,0.18708897518249298,0.22340190742049532,0.034927802586296006,0.02876979244291377,0.04318892786822276,0.01407837560901756,0.009813701712919756,0.020362603163851675,0.16870915032679734,0.15021804955585843,0.18719727622543936
conf_bpe,conf_bpe_prob,judge_verdict,0.7570806100217865,0.7349309599456268,0.7782409400011473,0.5139235817606778,0.4708314185616065,0.5555414361081757,0.1839095599508261,0.17258197618169915,0.19480744378602147,0.10343677441434827,0.09045371755864436,0.12911413132385363,0.22950477854612283,0.18231941610202004,0.3275423566287616,0.1590028249196318,0.14338828201240858,0.1754053682987624,0.015155867044025275,0.011762933245277996,0.023231269532971388,0.042802867870991766,0.035386859340245144,0.052041433805084386,0.10343677441434829,0.08563064477811623,0.12185555588474305
conf_verb,conf_verb_bidir,verdict_bidir,0.7924836601307189,0.7713923471886382,0.8132109250202473,0.5849742149992049,0.542466500708725,0.6264004063291213,0.1644533085565381,0.15189891644413497,0.1763461932479944,0.07723311546840955,0.058926896073614204,0.09800272111977049,0.1738095238095243,0.12970498342312478,0.2888888888888892,0.15014365468409585,0.1361923381462667,0.16488433889777357,0.007554676919220879,0.004990272058107635,0.012789617123165816,0.022621936278682874,0.016865030507852697,0.03051983417431259,0.03826252723311552,0.018119021328531153,0.05922233079943801
conf_lp,conf_lp_bidir,verdict_bidir,0.7924836601307189,0.7713923471886382,0.8132109250202473,0.5849742149992049,0.542466500708725,0.6264004063291213,0.1644533085565381,0.15189891644413497,0.1763461932479944,0.09606548812156868,0.08481687931467657,0.12582793057129676,0.22950477854612283,0.17976446371700003,0.3295452904051163,0.1590028249196318,0.14338828201240858,0.1754053682987624,0.014147190064108925,0.010634821645388488,0.022513173707784717,0.02287084573230343,0.017389157907259225,0.030534716278107464,0.06842181512240364,0.04716941195810057,0.09003778129080207
