regime,signal,n,ece,ece_ci_low,ece_ci_high,brier,brier_ci_low,brier_ci_high,overconfidence_gap,overconfidence_gap_ci_low,overconfidence_gap_ci_high,auroc,auroc_ci_low,auroc_ci_high
in_coverage,conf_kev,1310,0.1525496183206107,0.12470889507843552,0.18144009079364493,0.18899007633587786,0.16364021617741747,0.21622133312643754,0.15254961832061054,0.12470889507843538,0.18144009079364481,0.697216129032258,0.6596250160444835,0.7335100134654063
in_coverage,conf_kev_bpe,1310,0.06641603053435112,0.05440069769938767,0.09322544270102116,0.1510105534351145,0.13301418044103827,0.16999980669333073,0.06641603053435119,0.04650414170656953,0.08733463807220061,0.7722258064516129,0.7406586690051898,0.8004901733604441
out_of_coverage,conf_kev,526,0.12971482889733835,0.09422341143664675,0.17661968635110298,0.17028155893536123,0.13870323833120204,0.20966592066146408,0.12971482889733843,0.09304455092092699,0.17525733029921564,0.7073965252938171,0.6472298288152709,0.7652160843137454
out_of_coverage,conf_kev_bpe,526,0.06189163498098856,0.044151045435749,0.10618905309648605,0.13652238593155894,0.11281067849688246,0.16580027085834334,0.054724334600760316,0.022237494152502715,0.09056969088493755,0.7805952989269289,0.7230894940773124,0.8313090231917565
