turn,signal,n,ece,ece_ci_low,ece_ci_high,brier,brier_ci_low,brier_ci_high,overconfidence_gap,overconfidence_gap_ci_low,overconfidence_gap_ci_high,auroc,auroc_ci_low,auroc_ci_high
1,conf_sc_autoj,889,0.14651293588301464,0.11815783518661224,0.18098070752629375,0.18468785151856018,0.1579972947274998,0.21313901080566577,0.11051743532058489,0.07364549084797334,0.14775151545568246,0.6777570093457943,0.6345996433413477,0.7194498236290435
1,conf_sc_bpe_autoj,872,0.14375955657492354,0.11359078492521958,0.17820006471432143,0.18230639971967383,0.15504641408581157,0.2118926145286273,0.13389717125382272,0.09886029546838264,0.1697061376725697,0.6831680650902618,0.6468670888512928,0.7209698945339873
2,conf_sc_autoj,908,0.12417400881057265,0.09797638816313216,0.15467174851772175,0.1691216960352423,0.1441763115611426,0.19379340338877468,0.09058370044052855,0.06038631713970256,0.12081507730303721,0.6794260438019204,0.6343078842458186,0.7235364122813424
2,conf_sc_bpe_autoj,898,0.14016332590942837,0.11312350122300206,0.16880310316924457,0.17505413264043554,0.15159953082259606,0.20126173384608714,0.09998144023756506,0.06977121552248493,0.13174981700977323,0.6805567945286947,0.6370833071024531,0.7216588149477309
