signal,aurc,aurc_ci_low,aurc_ci_high,auroc,auroc_ci_low,auroc_ci_high,accuracy_at_90,accuracy_at_90_ci_low,accuracy_at_90_ci_high,kappa_at_90,kappa_at_90_ci_low,kappa_at_90_ci_high,accuracy_at_75,accuracy_at_75_ci_low,accuracy_at_75_ci_high,kappa_at_75,kappa_at_75_ci_low,kappa_at_75_ci_high,accuracy_at_50,accuracy_at_50_ci_low,accuracy_at_50_ci_high,kappa_at_50,kappa_at_50_ci_low,kappa_at_50_ci_high
conf_verb,0.13877163515793792,0.11665711905736506,0.16197073817561944,0.6390166790334548,0.6077215655813952,0.6718273120620879,0.7796610169491526,0.7563157252378627,0.8015649568261312,0.5571391327018338,0.5127453044271799,0.6016431349166257,0.8140885984023238,0.7841058965581297,0.8333362989323844,0.6256252641774338,0.5663388790473717,0.6633894566527765,0.8442265795206971,0.7902820247933885,0.8502230725651269,0.6831105253247975,0.5775894778139109,0.6957220425452354
conf_lp,0.0777634879164295,0.06578295660478434,0.09170803467322777,0.7147167467819465,0.6822920533564302,0.7459682830658654,0.7838983050847458,0.7628738237810093,0.8069013302981732,0.5659580856832492,0.5243594525817573,0.6111466546278601,0.831517792302106,0.8041364492553431,0.8529015680857978,0.6623723052794223,0.6083550741463136,0.7045347676573073,0.8888888888888888,0.8569803215077605,0.9064333453495953,0.7772141538344404,0.7126789201781711,0.8127299542016395
conf_sc,0.03830901005482112,0.03153093236374046,0.04611806149887098,0.6230530373907152,0.6006390568176551,0.6473993463553148,0.788135593220339,0.7654867256637168,0.8111566563762709,0.5733899195476251,0.5279860622074858,0.6191273491634798,0.8162672476397966,0.7889517598307675,0.8310840088392838,0.6270414013045698,0.5725051148256579,0.6573106539937122,0.8376906318082789,0.7844989939432666,0.8359233673029653,0.6677645481440458,0.564918031945476,0.6668943650700151
conf_bpe,0.09990820890167941,0.08294019919266117,0.11986673966119622,0.7935759912249573,0.7667146655370846,0.819154232192796,0.7947941888619855,0.7686158856278039,0.8171027188796153,0.5886405838661152,0.5374750583073847,0.6329544203064287,0.8605664488017429,0.8303747466860665,0.8867965545529122,0.7211121589377149,0.6606970258611546,0.7736431392896986,0.9161220043572985,0.8920985063441489,0.9414842360577688,0.8322328603910438,0.7840022262338736,0.8829411447429641
