regime,signal,n,ece_clean,ece_verbose,delta_ece_verbose_minus_clean,delta_ece_ci_low,delta_ece_ci_high,accuracy_clean,accuracy_verbose,delta_accuracy_verbose_minus_clean,delta_accuracy_ci_low,delta_accuracy_ci_high,auroc_clean,auroc_verbose,delta_auroc_verbose_minus_clean,delta_auroc_ci_low,delta_auroc_ci_high
in_coverage,conf_kev,1310,0.1525496183206107,0.16174809160305348,0.009198473282442776,-0.008830867212635367,0.02665033728703024,0.7633587786259542,0.749618320610687,-0.013740458015267243,-0.03168756022323818,0.003910229788095324,0.697216129032258,0.6914196388654315,-0.005796490166826596,-0.04521645556349809,0.03275937260808043
in_coverage,conf_kev_bpe,1310,0.06641603053435112,0.03720992366412209,-0.02920610687022903,-0.04462015259775636,-0.0015064851794730197,0.7633587786259542,0.749618320610687,-0.013740458015267243,-0.03168756022323818,0.003910229788095324,0.7722258064516129,0.7777712234861656,0.005545417034552691,-0.011631287723516766,0.02589971085051352
out_of_coverage,conf_kev,474,0.13808016877637133,0.15940928270042196,0.021329113924050624,-0.018774880382775153,0.06911234036234035,0.7721518987341772,0.7468354430379747,-0.025316455696202556,-0.06459314435246077,0.01579156223893059,0.7013256425824732,0.6772598870056497,-0.024065755576823555,-0.08679254132180582,0.04055416810457768
out_of_coverage,conf_kev_bpe,474,0.0637236286919831,0.058006329113924046,-0.005717299578059054,-0.05981852891010196,0.03948194164989937,0.7721518987341772,0.7468354430379747,-0.025316455696202556,-0.06459314435246077,0.01579156223893059,0.7786632260675976,0.7836511299435028,0.0049879038759051975,-0.03240577724737124,0.04431013614823852
