signal,n,flip_rate,flip_rate_ci_low,flip_rate_ci_high,mean_conf_flipped,mean_conf_unflipped,gap_flipped_minus_unflipped,gap_ci_low,gap_ci_high
conf_verb,1836,0.27832244008714596,0.24800245030612225,0.3080989766622277,0.9348336594911937,0.9547169811320755,-0.0198833216408818,-0.024805706770712595,-0.015177258160596044
conf_lp,1836,0.27832244008714596,0.24800245030612225,0.3080989766622277,0.9986031636355263,0.9995384807628005,-0.0009353171272742378,-0.003104044717994053,0.0005032196821297407
conf_sc,1836,0.27832244008714596,0.24800245030612225,0.3080989766622277,0.8444227005870841,0.9571698113207547,-0.11274711073367061,-0.1337165385506581,-0.09242691867854796
conf_bpe,1836,0.27832244008714596,0.24800245030612225,0.3080989766622277,0.30731517286735255,0.9984162691248328,-0.6911010962574803,-0.692106109657604,-0.6898858586615625
