judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted,accepted_share_ci_low,accepted_share_ci_high,slip_through_ci_low,slip_through_ci_high,error_among_accepted_ci_low,error_among_accepted_ci_high
Qwen2.5-7B,conf_verb_bidir,clean,0.95,1836,1065,771,0.5800653594771242,0.2572178477690289,0.09201877934272301,0.8159726630273794,0.5370220097715983,0.6226348036352591,0.2042412902076094,0.31621835338988624,0.07135540683927782,0.1137371476847857
Qwen2.5-7B,conf_verb_bidir,verbose,0.8,1836,1478,358,0.8050108932461874,0.623342175066313,0.15899864682002707,0.6820632523227607,0.7765042588504235,0.833690447680771,0.5701100900736966,0.6758127188952825,0.13749836387434555,0.18252856064958514
Qwen2.5-7B,conf_verb_bidir,verbose,0.9,1836,1463,373,0.7968409586056645,0.6180371352785146,0.15926179084073822,0.6815295371757057,0.7675143916129462,0.8270469290715274,0.5648356296344268,0.6697348981293935,0.13758179530201342,0.18217884712200033
Qwen2.5-7B,conf_verb_bidir,verbose,0.95,1836,1175,661,0.6399782135076253,0.4005305039787798,0.12851063829787235,0.7430094366268585,0.5971494634590215,0.6830544102190961,0.3376742922368188,0.4666719242902208,0.10640904835558451,0.15270506108202445
Qwen2.5-7B,conf_lp_bidir,clean,0.8,1836,1325,511,0.721677559912854,0.4330708661417323,0.12452830188679245,0.751117056094715,0.6919010233377724,0.7519975496938778,0.37680864852126783,0.49866004796027363,0.10341681632356038,0.14712961680389178
Qwen2.5-7B,conf_lp_bidir,clean,0.9,1836,1324,512,0.7211328976034859,0.4330708661417323,0.12462235649546828,0.7509257907986427,0.6913813100597451,0.7515361533839369,0.37680864852126783,0.49866004796027363,0.10342090025178449,0.14724516266861992
Qwen2.5-7B,conf_lp_bidir,clean,0.95,1836,1322,514,0.7200435729847494,0.42782152230971127,0.12329803328290469,0.7535731357825906,0.690293714594532,0.7501523925154399,0.3711310324219334,0.4908229040639441,0.1025371979682807,0.14523545253796394
Qwen2.5-7B,conf_lp_bidir,verbose,0.8,1836,1478,358,0.8050108932461874,0.623342175066313,0.15899864682002707,0.6820632523227607,0.7765042588504235,0.833690447680771,0.5701100900736966,0.6758127188952825,0.13749836387434555,0.18252856064958514
Qwen2.5-7B,conf_lp_bidir,verbose,0.9,1836,1476,360,0.803921568627451,0.623342175066313,0.15921409214092141,0.681632608105032,0.7754193791432921,0.8327836034063434,0.5701100900736966,0.6758127188952825,0.13772787099259512,0.18265830125866553
Qwen2.5-7B,conf_lp_bidir,verbose,0.95,1836,1475,361,0.8033769063180828,0.623342175066313,0.15932203389830507,0.6814181659428781,0.7743555473756064,0.8326136778345723,0.5701100900736966,0.6758127188952825,0.13781784074018835,0.18269691780821914
Qwen2.5-7B,p_correct_bayesian,clean,0.8,1819,1158,661,0.6366135239142386,0.2743764172335601,0.10449050086355786,0.7910189982728844,0.6025286464542967,0.6702269136235954,0.22676499166779948,0.3246209809526868,0.08543641821826059,0.1253176365413758
Qwen2.5-7B,p_correct_bayesian,clean,0.9,1819,892,927,0.49037932930181416,0.1360544217687075,0.06726457399103139,0.8654336446060314,0.44705550288867535,0.5319509021317623,0.0970873786407767,0.17500456204379558,0.04834870827675659,0.08738395577917933
Qwen2.5-7B,p_correct_bayesian,clean,0.95,1819,0,1819,0.0,0.0,,,0.0,0.0,0.0,0.0,,
Qwen2.5-7B,p_correct_logreg,clean,0.8,1819,1158,661,0.6366135239142386,0.2743764172335601,0.10449050086355786,0.7910189982728844,0.6025286464542967,0.6702269136235954,0.22676499166779948,0.3246209809526868,0.08543641821826059,0.1253176365413758
Qwen2.5-7B,p_correct_logreg,clean,0.9,1819,894,925,0.491478834524464,0.1383219954648526,0.06823266219239374,0.8634936845741404,0.4483880714229384,0.5325658100708435,0.09926761296510744,0.17715688437775814,0.04935490066194702,0.0885806725363318
Qwen2.5-7B,p_correct_logreg,clean,0.95,1819,0,1819,0.0,0.0,,,0.0,0.0,0.0,0.0,,
kev-8b,conf_kev,clean,0.8,1836,1530,306,0.8333333333333334,0.6533018867924528,0.18104575163398692,0.6339681305868635,0.8057447974312558,0.8587632536624079,0.5995519100480294,0.7045968866566139,0.15566203789162034,0.20842134443746557
kev-8b,conf_kev,clean,0.9,1836,1350,486,0.7352941176470589,0.5188679245283019,0.16296296296296298,0.6680125015090341,0.7015903528465627,0.7661694778901871,0.4650542040229147,0.5701234326018808,0.13774568195354378,0.19079176157162614
kev-8b,conf_kev,clean,0.95,1836,1169,667,0.6367102396514162,0.42452830188679247,0.15397775876817793,0.6808307319870041,0.5972216822187661,0.6738408262055183,0.36683202073939375,0.4821563852813852,0.12777263025710228,0.1819873543539099
kev-8b,conf_kev,verbose,0.8,1784,1485,299,0.8323991031390134,0.6964285714285714,0.2101010101010101,0.5684249354481741,0.8098260757175603,0.8553171477810186,0.6433483773909305,0.749454697986577,0.1832941346365064,0.23971788280271572
kev-8b,conf_kev,verbose,0.9,1784,1281,503,0.7180493273542601,0.5401785714285714,0.18891491022638562,0.6023474178403756,0.687145104301492,0.7494607958796461,0.4825950462001872,0.6004415011037527,0.16235139688333566,0.21962764000294355
kev-8b,conf_kev,verbose,0.95,1784,1108,676,0.6210762331838565,0.41517857142857145,0.16787003610108303,0.6327726300784033,0.586111076609698,0.6567338897533259,0.36187531406893,0.4711559734513274,0.1423327505402977,0.19710860097292615
