judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted
Qwen2.5-7B,conf_verb,clean,0.95,1836,1457,379,0.7935729847494554,0.6278026905829597,0.19217570350034316,0.6138212536515455
Qwen2.5-7B,conf_verb,clean,0.96,1836,373,1463,0.20315904139433552,0.10538116591928251,0.1260053619302949,0.7384720958333956
Qwen2.5-7B,conf_verb,clean,0.97,1836,373,1463,0.20315904139433552,0.10538116591928251,0.1260053619302949,0.7384720958333956
Qwen2.5-7B,conf_verb,clean,0.98,1836,373,1463,0.20315904139433552,0.10538116591928251,0.1260053619302949,0.7384720958333956
Qwen2.5-7B,conf_verb,clean,0.99,1836,373,1463,0.20315904139433552,0.10538116591928251,0.1260053619302949,0.7384720958333956
Qwen2.5-7B,conf_verb,verbose,0.5,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.51,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.52,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.53,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.54,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.55,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.56,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.57,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.58,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.59,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.6,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.61,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.62,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.63,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.64,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.65,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.66,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.67,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.68,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.69,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.7,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.71,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.72,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.73,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.74,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.75,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.76,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.77,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.78,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.79,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.8,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_verb,verbose,0.81,1836,1823,13,0.9929193899782135,0.9976525821596244,0.23313219967087218,0.533708801741005
Qwen2.5-7B,conf_verb,verbose,0.82,1836,1823,13,0.9929193899782135,0.9976525821596244,0.23313219967087218,0.533708801741005
Qwen2.5-7B,conf_verb,verbose,0.83,1836,1823,13,0.9929193899782135,0.9976525821596244,0.23313219967087218,0.533708801741005
Qwen2.5-7B,conf_verb,verbose,0.84,1836,1823,13,0.9929193899782135,0.9976525821596244,0.23313219967087218,0.533708801741005
Qwen2.5-7B,conf_verb,verbose,0.85,1836,1823,13,0.9929193899782135,0.9976525821596244,0.23313219967087218,0.533708801741005
Qwen2.5-7B,conf_verb,verbose,0.86,1836,1820,16,0.9912854030501089,0.9976525821596244,0.23351648351648352,0.5329128844788191
Qwen2.5-7B,conf_verb,verbose,0.87,1836,1820,16,0.9912854030501089,0.9976525821596244,0.23351648351648352,0.5329128844788191
Qwen2.5-7B,conf_verb,verbose,0.88,1836,1820,16,0.9912854030501089,0.9976525821596244,0.23351648351648352,0.5329128844788191
Qwen2.5-7B,conf_verb,verbose,0.89,1836,1820,16,0.9912854030501089,0.9976525821596244,0.23351648351648352,0.5329128844788191
Qwen2.5-7B,conf_verb,verbose,0.9,1836,1820,16,0.9912854030501089,0.9976525821596244,0.23351648351648352,0.5329128844788191
Qwen2.5-7B,conf_verb,verbose,0.91,1836,1535,301,0.8360566448801743,0.7136150234741784,0.19804560260586318,0.6036791996127158
Qwen2.5-7B,conf_verb,verbose,0.92,1836,1535,301,0.8360566448801743,0.7136150234741784,0.19804560260586318,0.6036791996127158
Qwen2.5-7B,conf_verb,verbose,0.93,1836,1535,301,0.8360566448801743,0.7136150234741784,0.19804560260586318,0.6036791996127158
Qwen2.5-7B,conf_verb,verbose,0.94,1836,1535,301,0.8360566448801743,0.7136150234741784,0.19804560260586318,0.6036791996127158
Qwen2.5-7B,conf_verb,verbose,0.95,1836,1535,301,0.8360566448801743,0.7136150234741784,0.19804560260586318,0.6036791996127158
Qwen2.5-7B,conf_verb,verbose,0.96,1836,257,1579,0.13997821350762527,0.05868544600938967,0.09727626459143969,0.8011266908100412
Qwen2.5-7B,conf_verb,verbose,0.97,1836,257,1579,0.13997821350762527,0.05868544600938967,0.09727626459143969,0.8011266908100412
Qwen2.5-7B,conf_verb,verbose,0.98,1836,257,1579,0.13997821350762527,0.05868544600938967,0.09727626459143969,0.8011266908100412
Qwen2.5-7B,conf_verb,verbose,0.99,1836,257,1579,0.13997821350762527,0.05868544600938967,0.09727626459143969,0.8011266908100412
Qwen2.5-7B,conf_lp,clean,0.5,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
