model,comparison,auroc_diff,ci_low,ci_high
logreg,A - baseline,0.005323012232416047,-0.031019908393630547,0.03886846201508223
logreg,B - A,-0.006804281345565766,-0.04789084350368676,0.026664225587551223
logreg,C - B,-0.00424311926605514,-0.01865321878395156,0.01055454001711998
histgbm,A - baseline,0.005103211009174435,-0.015719077506249002,0.025667646155688815
histgbm,B - A,-0.005150993883792143,-0.027015473041849217,0.013675365643824823
histgbm,C - B,0.0008027522935779574,-0.01353325330349435,0.017144158426900574
