model,auroc_mean,auroc_low,auroc_high,ece,brier,nll,coverage_90,n_folds_flagged,n_folds_total,worst_rhat,min_ess,n_folds_diverging,total_divergences
frequentist_logreg,0.796235794753315,0.7931883929188512,0.7986096712511808,0.036570012459007165,0.1431343697839321,,,,,,,,
bayesian_hierarchical,0.7948799403651156,0.7914235360327004,0.7967995616243595,0.034414925295583126,0.14304064625957014,0.44461724162101746,0.8,0.0,50.0,1.0080172526299598,610.8549909388661,0.0,0.0
