turn,signal,n,flip_rate,flip_rate_ci_low,flip_rate_ci_high,mean_conf_flipped,mean_conf_unflipped,gap_flipped_minus_unflipped,gap_ci_low,gap_ci_high
1,conf_sc_autoj,872,0.125,0.08981533172709645,0.16181936118402576,0.6720183486238532,0.9036697247706422,-0.231651376146789,-0.30940291750604676,-0.16206588725926693
1,conf_sc_bpe_autoj,872,0.125,0.08981533172709645,0.16181936118402576,0.3661541967015062,0.9235858680345095,-0.5574316713330033,-0.583530442345998,-0.5304739169043746
2,conf_sc_autoj,898,0.13808463251670378,0.10795231103166497,0.1692184375382606,0.6491935483870968,0.9140826873385013,-0.26488913895140453,-0.3284597457587316,-0.20731996912335204
2,conf_sc_bpe_autoj,898,0.13808463251670378,0.10795231103166497,0.1692184375382606,0.3716630302555344,0.9228438928638857,-0.5511808626083513,-0.5753966779227095,-0.5232695582253126
