tier,model,observed_auroc,null_mean,null_std,percentile
A,logreg,0.8238933486238531,0.5681832951070337,0.029106205460106137,1.0
A,histgbm,0.8188168960244647,0.5336034021406728,0.04498340317976709,1.0
B,logreg,0.8119552752293577,0.5402425458715597,0.03459361114467219,1.0
B,histgbm,0.8083753822629969,0.5423696483180429,0.04416105325558128,1.0
C,logreg,0.8064831804281345,0.5310972859327218,0.03812484388500169,1.0
C,histgbm,0.8047553516819571,0.544868883792049,0.03424861891385926,1.0
