regime,signal,n,flip_rate,flip_rate_ci_low,flip_rate_ci_high,mean_conf_flipped,mean_conf_unflipped,gap_flipped_minus_unflipped,gap_ci_low,gap_ci_high
in_coverage,conf_kev,1310,0.24580152671755726,0.19525258046069138,0.2996318631433076,0.8431987577639751,0.9396052631578948,-0.0964065053939197,-0.11738064449573885,-0.07768029949838384
in_coverage,conf_kev_bpe,1310,0.24580152671755726,0.19525258046069138,0.2996318631433076,0.32903610267296934,0.8191128739589836,-0.49007677128601423,-0.5101125787745756,-0.46753683912301036
out_of_coverage,conf_kev,526,0.21102661596958175,0.155160506763193,0.282445807645826,0.8499999999999999,0.9298313253012048,-0.07983132530120496,-0.11671468584167463,-0.04525906932652053
out_of_coverage,conf_kev_bpe,526,0.21102661596958175,0.155160506763193,0.282445807645826,0.3321803554985283,0.7981030696477976,-0.46592271414926933,-0.5026622261562681,-0.42621765904782044
